ID,Start time,Completion time,Email,Name,I confirm that I am 18 years of age or older and consent to participate in this study,"Are you currently employed, or have you been employed within the past 3 years?",sector,tenure,management_level,policy_exists,org_monitors,q8_policy_communicated,q9a_right_to_monitor,q9b_invasion_privacy,q9c_intervene_if_affects_org,q9d_improves_reputation,q9e_culture_mistrust,q10_appropriate_discipline,q11_discipline_proportionate,q12_scenario1,q13_scenario2,q14a_monitoring_affects_usage,q14b_avoid_opinions,q14c_consider_employer_reflection,q14d_reduces_trust,q14e_comfortable_expressing,q15_experienced_discipline,q16_open_fair_unfair,q17_open_when_appropriate,q18_open_improvements,q8_policy_communicated_num,q9a_right_to_monitor_num,q9b_invasion_privacy_num,q9c_intervene_if_affects_org_num,q9d_improves_reputation_num,q9e_culture_mistrust_num,q10_appropriate_discipline_num,q11_discipline_proportionate_num,q14a_monitoring_affects_usage_num,q14b_avoid_opinions_num,q14c_consider_employer_reflection_num,q14d_reduces_trust_num,q14e_comfortable_expressing_num,q12_scenario1_num,q13_scenario2_num
20,2026-03-16 16:24:57,2026-03-16 16:34:24,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,No,No,Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Neither agree nor disagree,Agree,Somewhat inappropriate,Somewhat appropriate,Disagree,Disagree,Agree,Agree,Agree,No;,Fair if the account is public and available for anyone who is not approved or screened to view,"When the context is negatively impacting the image of the company, and if someone has brought this to the company’s attention ",Outline terms and conditions directly upon signing contact to work or clear communication ,2,4,2,5,3,3,3,4,2,2,4,4,4,2,4
21,2026-03-16 16:35:38,2026-03-16 16:37:45,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Non-managerial employee,No,No,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Somewhat inappropriate,Completely appropriate,Strongly agree,Strongly agree,Neutral,Agree,Disagree,No;,,,,4,2,4,4,2,4,4,3,5,5,3,4,2,2,5
22,2026-03-16 16:49:19,2026-03-16 16:54:56,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,1-3 years,Supervisor,Yes,No,Neutral,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Completely inappropriate,Completely inappropriate,Agree,Agree,Agree,Strongly agree,Strongly disagree,No;,"Organisational monitoring of employees’ personal social media activity can be considered fair when it is transparent, proportionate, and clearly connected to legitimate work-related concerns such as protecting the organisation’s reputation or preventing misconduct. Employees should be informed that monitoring may occur, and it should respect reasonable expectations of privacy by avoiding unnecessary scrutiny of purely personal content. However, monitoring becomes unfair when it is done without notice, intrudes excessively into employees’ private lives, is applied selectively or discriminatorily, or punishes lawful personal opinions expressed outside of work that do not affect the organisation.","It is appropriate for an employer to intervene or take disciplinary action when an employee’s personal social media activity clearly affects the workplace, the organisation’s reputation, or the safety and wellbeing of others. This may include situations where posts involve harassment, discrimination, threats, disclosure of confidential information, or behaviour that directly damages trust in the organisation. However, employers should be cautious about intervening in cases where the activity is purely personal, lawful, and unrelated to the employee’s role or the organisation.","Organisations can make social media monitoring policies feel more fair and legitimate by clearly communicating the policy to employees, explaining why monitoring may be necessary, and outlining what types of activity may lead to intervention. Involving employees in developing the policy, applying it consistently across the organisation, and ensuring that monitoring is proportionate and respectful of privacy can also help build trust and transparency.",3,1,5,4,2,4,1,1,4,4,4,5,1,1,1
24,2026-03-16 18:49:55,2026-03-16 19:02:45,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,4-7 years,Non-managerial employee,Yes,Not sure,Strongly disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Somewhat appropriate,Somewhat appropriate,Strongly agree,Strongly disagree,Disagree,Agree,Neutral,No;,"Fair - if the employee is posting content in an easily identifiable work uniform or recording content in a work setting during work hours

Unfair - if the employee is sharing/reposting/posting opinions or thoughts (political or otherwise) that don’t actively impact the company/organisation. 

I don’t believe in scrupulous monitoring of employees social media in general, if an employee draws attention to their social media by posting something that directly affects the company then fair enough if they want to go through it to check if there are any other posts affecting the company or recorded during work etc.

Overall; employees should be conscious of what they post but management shouldn’t go out of their way to monitor their employees if there’s no reason for it. On the other hand, social media is widely accessible and if their accounts are not private, anyone can see what they post which leaves them vulnerable to scrutiny by management.
","if the employee is posting derogatory content towards their workplace in an easily identifiable work uniform (even if the company isn’t named but can be identified via a uniform, lanyard, working environment) or an employee records content in a work setting during work hours. 
","Send out reminders (maybe in a digital poster format) about social media policies - company wide, not just have it as a footnote on some 1,000 page contract that people barely read.",1,3,2,5,2,4,2,4,5,1,2,4,3,4,4
25,2026-03-16 20:10:33,2026-03-16 20:13:35,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Yes,Yes,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Somewhat inappropriate,Somewhat appropriate,Agree,Agree,Strongly agree,Strongly disagree,Agree,"Yes, witnessed;",,,,4,4,2,4,5,2,4,2,4,4,5,1,4,2,4
26,2026-03-16 22:15:42,2026-03-16 22:22:37,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,Less than 1 year,Non-managerial employee,Not sure,Not sure,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Somewhat appropriate,Somewhat appropriate,Agree,Agree,Agree,Neutral,Strongly disagree,No;,"If it’s a public account, even if something is posted outside of work hours or unrelated to the company, that individual still represents the organization. For that reason, I believe it’s fair to a certain extent. ","If the activity is problematic and goes against the company’s mission, values, and objectives. Also, if the company’s reputation is at risk of being harmed. ",Setting out clearer guidelines of what is acceptable and what should be avoided. ,3,4,2,5,4,3,4,4,4,4,4,3,1,4,4
27,2026-03-16 23:33:55,2026-03-16 23:40:55,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,1-3 years,Non-managerial employee,Yes,Yes,Neutral,Neutral,Agree,Strongly Agree,Disagree,Agree,Neither agree nor disagree,Agree,Completely inappropriate,Completely appropriate,Agree,Agree,Neutral,Strongly agree,Neutral,No;,"i think when there individuals are being directly harmed by the words or online actions of the employees, it may make sense for the employer to discuss this but this is extremely context specific. it can very quickly bleed into censorship to a degree depending on the type of social media content that is being posted. 
",it is honestly so context specific but i think when there is real harm or discrimination at play.,"have open discussions about the expectations and invite questions. what people don’t know, they often fear.",3,3,4,5,2,4,3,4,4,4,3,5,3,1,5
28,2026-03-16 23:51:28,2026-03-16 23:53:38,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Non-Profit,1-3 years,Middle Management,No,No,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Somewhat inappropriate,Completely inappropriate,Agree,Neutral,Agree,Disagree,Agree,No;,,,,4,3,3,4,4,2,4,4,4,3,4,2,4,2,1
29,2026-03-17 00:09:51,2026-03-17 00:15:36,anonymous,,"Yes, I consent","Yes, currently employed",Non-Profit,4-7 years,Non-managerial employee,Yes,Yes,Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Completely inappropriate,Completely appropriate,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,"Yes, witnessed;",,,,2,2,4,5,3,3,4,3,5,5,5,5,1,1,5
30,2026-03-17 10:22:24,2026-03-17 10:26:30,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Yes,Yes,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Somewhat inappropriate,Somewhat appropriate,Strongly agree,Strongly agree,Agree,Agree,Disagree,No;,"Freedom of speech still exists and if they aren’t referring to their employer, they should be able to speak their opinions ",If the employee mentions the company or makes the company look bad ,Be more transparent about monitoring ,3,4,3,4,2,4,3,4,5,5,4,4,2,2,4
31,2026-03-17 14:11:47,2026-03-17 14:16:27,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,4-7 years,Non-managerial employee,No,No,Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Somewhat inappropriate,Somewhat appropriate,Disagree,Disagree,Disagree,Agree,Agree,No;,,,,2,2,4,5,3,4,3,3,2,2,2,4,4,2,4
32,2026-03-18 07:15:22,2026-03-18 07:22:40,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,1-3 years,Supervisor,No,No,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Somewhat appropriate,Agree,Agree,Agree,Disagree,Neutral,No;,I think that anything posted for the general public to see is fair game. It would be unfair if companies are making fake accounts and friend requesting employees to access their private posts. ,When an employees actions do not fit with organizational views which are typically outlined in employee handbooks. Regardless of whether it’s physical actions or dissent of opinion / inappropriate behaviour on social media,Clearly outline policies and inform employees. Making this an open and talked about thing can educate employees about social media etiquette.,2,4,3,3,4,3,4,4,4,4,4,2,3,3,4
33,2026-03-18 12:55:53,2026-03-18 13:03:56,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Yes,Not sure,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Somewhat appropriate,Completely appropriate,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,No;,"If an employee is directly associated with a public or private organization and they are posting things that could be controversial or reflect negatively on the organization, I believe monitoring may be appropriate. However, I do not believe that constant monitoring of an employees’ private accounts is ever actually fair. ",When it impacts the organization. ,,4,2,4,4,3,4,2,3,5,5,5,4,2,4,5
34,2026-03-18 12:50:51,2026-03-18 13:11:39,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,1-3 years,Non-managerial employee,No,Not sure,Strongly disagree,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Somewhat appropriate,Completely appropriate,Agree,Strongly agree,Agree,Agree,Neutral,"Yes, witnessed;","In my opinion, I believe that fair monitoring depends on transparency, relevance, and proportionality",I believe that intervention should only happen if the social media use has clear and direct impact on the workplace or organisation,"If organisations want employees to feel fair they need to make their policies clear, transparent, and consistent by explaining what is monitored, why, and how any information they find would be used.",1,4,3,5,4,3,4,4,4,5,4,4,3,4,5
35,2026-03-18 20:10:06,2026-03-18 20:17:18,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,1-3 years,Supervisor,Not sure,No,Strongly disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Completely inappropriate,Completely appropriate,Disagree,Disagree,Disagree,Strongly agree,Agree,"Yes, witnessed;","Unfair - if its LinkedIn, maybe different. But people's personal instagram, facebook, etc. there is no need to be monitoring at all period point blank. Only time issues should be addressed is if they are seen and brought to management by another employee. People are people, not robots for your company. We have free speech, differing opinions and personalities. Someone should never have to be concerned that their job is watching over their social media. ","If something is offensive, aggressive, racist/homophobic/sexist, bullying, harms someone, or another employee flags the post. ","Don't monitor. Only if an inappropriate post comes up naturally, via another employee or someone in management coming across it, should it ever impact. A company should not be monitoring. ",1,2,5,4,1,5,4,3,2,2,2,5,4,1,5
36,2026-03-18 22:36:47,2026-03-18 22:44:49,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Not sure,No,Strongly disagree,Neutral,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Completely inappropriate,Completely inappropriate,Agree,Strongly disagree,Strongly disagree,Agree,Agree,No;,"I feel that anything posted publicly can be acted upon as public information, however there are some forms of speech that should be protected and employers are unable to discriminate against. some factors might include the reach of the account, the degree to which they associate with the business, the severity of the statements, etc.","I think that if an employee makes clear statements that are in direct conflict with a companies values it might be fair to take action. For example if a person made a hate speech video, saying slurs while wearing a company t shirt, I think its fair for a company to take disciplinary action.",transparency. Being upfront about these policies allow employees to understand the risk of what they might post publicly and how it could affect them outside of the platform. I feel it is common place for companies to have little-no documentation on social media monitoring (In my personal experience) and a little transparency goes a long way.,1,3,2,2,1,4,4,3,4,1,1,4,4,1,1
37,2026-03-21 12:42:24,2026-03-21 13:12:23,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,8+ years,Supervisor,Not sure,Not sure,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Completely inappropriate,Somewhat inappropriate,Agree,Agree,Agree,Agree,Disagree,No;,There is no personal social media…. Everyone can read….so as your employer. So it is a fair game. Use really personal media in clear siècle protected by password. That media will be a fair to monitor and illegal I guess,"Terrorist treats , racial thing instigating hate between people","It is a social media, by using it you shall know that anyone can read it. And it is fair for company to read open source information. So I think they shall just make employees aware of this so employees don’t think the company will not look through their social media",2,3,3,4,3,4,4,4,4,4,4,4,2,1,2
38,2026-03-21 21:33:01,2026-03-21 21:37:38,anonymous,,"Yes, I consent","Yes, currently employed",Non-Profit,8+ years,Middle Management,No,Not sure,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Somewhat appropriate,Somewhat appropriate,Agree,Strongly agree,Strongly agree,Agree,Disagree,No;,compliance and legal risk,when it's about company reputation,not sure,3,3,3,5,2,3,4,4,4,5,5,4,2,4,4
39,2026-03-22 21:05:27,2026-03-22 21:11:46,anonymous,,"Yes, I consent","Yes, currently employed",Other,Less than 1 year,Non-managerial employee,Not sure,No,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Somewhat appropriate,Neutral,Strongly disagree,Neutral,Strongly disagree,Disagree,Neutral,No;,Invading the employees personal life and information ,Never. Work and personal life should always remain separate and privately ,Post content regarding the situation ,3,1,5,3,3,3,1,3,1,3,1,2,3,4,3
40,2026-03-22 21:07:20,2026-03-22 21:12:03,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,4-7 years,Non-managerial employee,No,No,Strongly disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Completely appropriate,Completely appropriate,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,No;,Makes it fair if the employee is saying or doing things that directly hurts the company and it’s reputation,When it directly impacts the company,"start up a 3 strike system, on strike 3 employee gets written up.

having employees social media on private",1,3,4,4,3,4,2,2,1,1,1,4,5,5,5
41,2026-03-22 21:08:07,2026-03-22 21:13:03,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,8+ years,Non-managerial employee,Not sure,No,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Neither agree nor disagree,Agree,Completely inappropriate,Completely appropriate,Agree,Agree,Agree,Disagree,Disagree,"Yes, witnessed;","Fair if the posts are openly offensive, racist, or breaking laws because it reflects the company.",See above answer,Most organizations don’t disclose they are checking.,4,4,2,5,4,3,3,4,4,4,4,2,2,1,5
42,2026-03-22 21:14:03,2026-03-22 21:15:22,anonymous,,"Yes, I consent","Yes, currently employed",Other,Less than 1 year,Non-managerial employee,No,No,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neither agree nor disagree,Neutral,Neutral,Completely appropriate,Agree,Agree,Agree,Agree,Agree,No;,,,,3,2,4,4,3,4,3,3,4,4,4,4,4,3,5
44,2026-03-22 21:21:49,2026-03-22 21:26:44,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,No,No,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Completely inappropriate,Completely appropriate,Agree,Agree,Agree,Neutral,Agree,No;,,,,3,3,2,4,4,2,4,4,4,4,4,3,4,1,5
45,2026-03-22 21:24:41,2026-03-22 21:27:32,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,1-3 years,Non-managerial employee,Not sure,Not sure,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Completely inappropriate,Somewhat inappropriate,Strongly agree,Agree,Agree,Neutral,Disagree,No;,,,,3,4,2,3,4,4,4,4,5,4,4,3,2,1,2
46,2026-03-22 21:23:28,2026-03-22 21:28:15,anonymous,,"Yes, I consent","Yes, currently employed",Private Sector,Less than 1 year,Non-managerial employee,Yes,Not sure,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat inappropriate,Somewhat inappropriate,Strongly agree,Strongly agree,Neutral,Agree,Disagree,No;,If it is a post about work or in work it is fair to assume the employer can discipline ,Only if directed at the company,Put regulations in place ,4,3,4,5,5,4,4,4,5,5,3,4,2,2,2
47,2026-03-22 21:23:14,2026-03-22 21:28:23,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Public Sector,Less than 1 year,Non-managerial employee,No,No,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Somewhat appropriate,Somewhat appropriate,Agree,Agree,Agree,Agree,Disagree,No;,"Many times it is unrelated entirely to workplace, done off premise, and without harm directed at employer. ","If its inherently causing harm to business itself, or if the person posting is posting things publicly that harm the alignment of the company. ",Outline them clearly and mention consequences without policing them constantly. ,3,4,4,4,3,4,4,5,4,4,4,4,2,4,4
48,2026-03-22 21:28:19,2026-03-22 21:31:00,anonymous,,"Yes, I consent","Yes, employed within the past 3 years ",Private Sector,Less than 1 year,Non-managerial employee,No,No,Strongly disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Somewhat inappropriate,Neutral,Agree,Agree,Disagree,Strongly agree,Agree,No;,,,,1,1,5,4,2,4,2,2,4,4,2,5,4,2,3
49,2026-03-22 21:41:59,2026-03-22 21:43:20,anonymous,,"Yes, I consent","Yes, currently employed",Public Sector,Less than 1 year,Non-managerial employee,Yes,No,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat inappropriate,Somewhat inappropriate,Disagree,Neutral,Neutral,Neutral,Neutral,No;,,,,2,1,1,2,1,4,2,2,2,3,3,3,3,2,2
